CMDLINE C:\Python310\python.exe eesr_mem_profile.py
MEM 1.601562 1660178575.0370
MEM 15.613281 1660178575.1380
MEM 23.292969 1660178575.2390
MEM 29.355469 1660178575.3390
MEM 34.859375 1660178575.4400
MEM 40.093750 1660178575.5410
MEM 43.984375 1660178575.6410
MEM 50.960938 1660178575.7410
MEM 60.414062 1660178575.8410
MEM 71.687500 1660178575.9410
MEM 75.511719 1660178576.0420
MEM 77.796875 1660178576.1430
MEM 80.792969 1660178576.2430
MEM 82.363281 1660178576.3440
MEM 87.265625 1660178576.4440
MEM 98.847656 1660178576.5450
MEM 108.535156 1660178576.6450
MEM 112.375000 1660178576.7450
MEM 116.156250 1660178576.8460
MEM 120.238281 1660178576.9470
MEM 123.800781 1660178577.0480
MEM 126.753906 1660178577.1480
MEM 131.980469 1660178577.2480
MEM 132.679688 1660178577.3490
MEM 135.828125 1660178577.4490
MEM 138.894531 1660178577.5490
MEM 141.796875 1660178577.6500
MEM 146.113281 1660178577.7500
MEM 176.253906 1660178577.8510
MEM 186.929688 1660178577.9520
MEM 194.277344 1660178578.0520
MEM 195.214844 1660178578.1530
MEM 201.929688 1660178578.2540
MEM 208.066406 1660178578.3550
MEM 189.757812 1660178578.4550
MEM 156.406250 1660178578.5560
MEM 156.878906 1660178578.6570
MEM 157.878906 1660178578.7580
MEM 157.929688 1660178578.8590
MEM 162.300781 1660178578.9600
MEM 166.343750 1660178579.0610
MEM 167.621094 1660178579.1610
MEM 167.691406 1660178579.2620
MEM 167.156250 1660178579.3620
MEM 169.535156 1660178579.4630
MEM 172.078125 1660178579.5630
MEM 172.082031 1660178579.6640
MEM 172.320312 1660178579.7640
MEM 174.625000 1660178579.8640
MEM 174.867188 1660178579.9650
MEM 173.875000 1660178580.0660
FUNC eesr.analysis.opendc_preprocess.preprocess 146.2148 1660178577.7690 155.0273 1660178578.5340 0
FUNC eesr.analysis.grid.__init__ 155.0273 1660178578.5340 169.0117 1660178580.5320 0
FUNC eesr.analysis.grid.analyze 169.0117 1660178580.5320 171.7148 1660178580.5750 0
MEM 171.457031 1660178580.1660
MEM 172.492188 1660178580.2660
MEM 172.566406 1660178580.3660
MEM 173.175781 1660178580.4670
MEM 171.664062 1660178580.5670
MEM 165.765625 1660178580.6680
MEM 158.492188 1660178580.7690
